GroupName,ContractDate,ContractPrice
Прочее,2017-11-15,423339126187.94
Прочее,2018-08-06,185541166332.67
Прочее,2017-09-18,127356395193.23
Прочее,2019-01-10,94348062298.31
Прочее,2016-12-12,76698570842.92
Строительный надзор,2020-12-28,60521122431.91
Прочее,2018-04-03,54426934529.99
Прочее,2017-11-13,52586568666.15
Прочее,2019-05-27,52402209565.73
Прочее,2018-05-25,51681156100.50
Прочее,2019-05-15,50069827107.88
Прочее,2019-12-23,49092385503.51
Прочее,2019-12-27,46070246428.73
Прочее,2016-02-11,45311850424.90
Прочее,2018-12-24,44455108570.64
Прочее,2016-12-27,42225495630.53
Прочее,2018-07-13,41963019396.63
Прочее,2019-05-28,40914827887.05
Прочее,2019-06-03,39778737994.31
Строительный надзор,2017-04-17,38732327340.69
Строительный надзор,2020-06-15,38044956764.56
Прочее,2017-10-17,37131658188.69
Строительный надзор,2016-11-30,36196440325.10
Прочее,2019-05-25,34694505878.68
Прочее,2018-02-19,33796324831.75
Прочее,2020-05-12,33370533421.69
Прочее,2016-07-18,33273858315.22
Прочее,2019-05-31,33254767987.93
Прочее,2017-07-17,32947104753.41
Прочее,2019-05-20,30079566130.03
Прочее,2020-06-15,29742854450.49
Прочее,2019-07-18,29674113940.06
Прочее,2019-04-29,29113585860.44
Прочее,2020-05-19,29053877598.59
Прочее,2018-12-18,28904990926.85
Прочее,2017-12-19,28641763951.52
Прочее,2016-08-29,28497554545.49
Прочее,2019-08-19,28383925250.19
Прочее,2017-05-10,27978503558.59
Прочее,2017-11-17,27676732375.81
Прочее,2016-02-16,27430184421.37
Прочее,2020-04-06,27147705979.35
Прочее,2018-11-20,26901977021.13
Прочее,2019-06-24,26369234919.32
Прочее,2019-10-28,25915573334.15
Прочее,2019-07-22,25860151996.84
Прочее,2017-05-18,25730339909.41
Прочее,2017-11-27,25305516754.61
Прочее,2017-12-23,25270798985.15
Прочее,2019-12-16,25128104574.32
Прочее,2017-12-25,25082468707.52
Прочее,2020-12-29,25036438542.97
Прочее,2020-06-22,24973247321.97
Прочее,2017-12-29,24922036704.72
Прочее,2019-05-21,24560037379.81
Прочее,2019-12-20,24555952823.79
Прочее,2018-09-17,24308911973.39
Прочее,2017-12-26,24187537750.22
Прочее,2022-07-30,24078170129.38
Прочее,2020-03-16,23829683098.92
Прочее,2017-04-12,23537743488.67
Прочее,2017-05-22,23251910062.73
Прочее,2018-05-28,23227978780.58
Прочее,2020-05-06,23140600655.19
Прочее,2019-04-15,23040933232.96
